K2 EPIC,TIC,Gaia ID,RA,Dec,KepMag,Tmag,G,Teff,Radius,Dist,Dist_minus_1_sigma,Dist_plus_1_sigma,Simbad ID,Simbad Type
245925582,4554210,2413051302797084416,347.998206,-11.933554,7.659,6.676,7.487621,5046.6,9.55,252.608638986167,249.612715827435,255.676032474844,CCDM J23120-1156AB,**
245929348,4579916,2413014469157323264,348.407601,-11.749342,9.316,8.097,9.01588,4129.65,23.55,701.505145332541,674.692944971876,730.491078744145,HD 219131,Star
245931711,4582469,2413392224416454528,348.516775,-11.629405,9.944,9.411,9.786786,6296.17,1.18,148.368686520648,147.278023456373,149.475331549084,HD 219191,Star
245927251,4520668,2413067451874115840,347.867863,-11.852871,10.928,10.513,10.832324,6735.8,1.85,428.70354981503,420.762378226582,436.944596323703,HD 218871,Star
245933030,4579787,2413442527073427584,348.275732,-11.566588,11.128,10.674,11.108854,5829.0,1.1,214.971223067056,212.7312719065,217.257985969273,TYC 5824-282-1,PM*
245926259,404244638,2413052230510638976,348.158968,-11.899261,11.133,10.516,11.103365,4792.3,11.56,1362.42550661958,1278.93934315652,1457.22614181347,UCAC2  27769363,Star
245940149,4619629,2413525157948692864,349.26068,-11.217874,11.438,10.939,11.423325,5599.07,1.99,409.986970884884,403.286495945962,416.909702042217,TYC 5824-1036-1,Star
245924577,5738944,2413050173220659072,348.021347,-11.982769,11.91,11.426,11.792004,5864.5,1.12,304.134574051694,300.591428350826,307.760711423969,,
245930282,4582572,2413390712587964928,348.571321,-11.702937,12.02,11.879,11.973689,9310.5,,711.865338386039,688.383799196993,736.972324238909,,
245925916,4520658,2413031786465691008,347.896607,-11.916607,12.164,11.672,12.127567,5878.0,1.21,384.228838740962,378.309410855396,390.33300937723,,
245933515,4582457,2413440083236502912,348.537021,-11.541908,12.174,11.575,12.141832,5440.0,1.04,282.000895745946,278.531353751201,285.556376696754,,
245927318,404244647,2413053540475486208,348.096238,-11.849437,12.277,11.754,12.253389,5818.67,1.91,624.987185532945,606.771042227009,644.309064875718,2MASS J23122310-1150579,Star
245925902,5741465,2413010419003824000,348.320654,-11.917604,12.339,11.607,12.311934,4990.84,9.19,2016.27753382665,1828.59276095315,2244.23595620147,,
245928182,4554186,2413056357974041856,347.962886,-11.806824,12.394,11.7,12.381734,4969.0,5.65,1322.24656301221,1249.63727162452,1403.57276122147,2MASS J23115109-1148246,Star
245937556,4611188,2413428920617060096,349.112322,-11.342399,12.395,11.916,12.372799,6285.0,1.54,625.683762816343,609.920573889405,642.267387020797,,
245924999,404244634,2413050478163364352,348.109065,-11.962219,12.479,11.601,12.426735,4460.25,0.58,106.595384304871,106.158124264389,107.03619675871,LP  762-28,PM*
245928353,4520626,2413068830559081216,347.787966,-11.79838,12.481,11.917,12.495243,5367.92,0.79,244.23920655978,241.690409332888,246.84135253475,,
245934571,4602734,2413420635624585088,348.873797,-11.488548,12.668,12.068,12.655914,5338.0,0.84,275.69778704485,272.229290734424,279.25418342256,,
245930767,4579816,2413065390289810944,348.229379,-11.678896,12.779,12.042,12.737454,4806.0,2.83,731.544052289916,698.338413136368,767.993725496606,,
245938152,4602774,2413474241111982848,348.851412,-11.313663,12.788,12.2,12.744757,5377.67,1.11,384.964277972535,378.430719487663,391.723183580598,,
245941322,49529599,2413525815079159424,349.309142,-11.162578,12.87,12.217,12.873659,4996.05,2.03,619.966807050812,605.129493969944,635.535840415402,,
245929111,4520619,2413069002357771264,347.830591,-11.761767,12.92,12.431,12.9416,5580.5,1.03,422.651663444722,412.058247151999,433.793633968408,,
245925615,5741463,2413004406049610752,348.286888,-11.932072,12.934,12.307,12.927494,5097.0,0.75,250.58678253179,247.840021728373,253.393995337283,,
