#TICID     KICID
63368895 7202957
48217508 10960750
159644070 10206340
137403911 4465529
272951532 7466053
159449703 7887791
137637285 2164791
267991311 10684673
123310432 10186796
258202644 6020867
159443078 7887124
239308404 8846163
270957464 9655187
274127259 8387281
272840510 10418678
121656815 3534580
137408962 6443392
158384848 8085683
273874851 10619109
273874106 10553224
272369124 8572936
120495323 6426158
121945407 5952403
170256002 5985314
394172596 6278762
271671025 7375348
63210277 8099075
137095222 3234139
271548206 10020423
121119758 4909707
27398078 12117868
122138201 5442451
268289462 6891512
164415564 8933391
169820068 6307537
123231081 7582689
137147783 1720554
122446971 5094944
121604042 4912991
171097823 5648449
184089663 4761031
258203303 5511081
171096809 5818706
237158644 5683912
26487954 12209045
272489221 8179973
270858200 8566020
240185634 6695510
271044027 8892722
137551461 3957477
63209318 8432040
122070918 4647652
274129522 8906676
171974450 5651608
267746802 12010753
352012002 8285349
268299560 7914906
63125816 8098728
298964604 11237492
169822625 6146503
27394362 11037105
407000096 11811454
159515804 10532461
271547896 9899416
271041303 9716456
271352011 8894630
169819915 6307062
168813467 5725087
138297276 5966097
121785559 4355410
171506211 5819801
164882967 8739252
137488317 1577039
298963198 11857884
121988957 4049174
120689141 5774694
138428897 6129877
122304494 3439031
122712115 5703230
121604098 4912785
273870038 9606703
26961610 10801714
298965708 10788617
63129128 9465763
164416605 9632503
123362819 7800227
271047371 7898839
137891557 2859567
26542657 12013550
27846348 11773022
121016578 6109688
271423638 10149845
121215583 4450976
123416515 7870390
394177355 4150611
267990226 10991769
268821645 8324612
299154631 11502218
121214185 3632418
273687627 9172506
299218326 12254588
159047480 8488876
158114638 8417483
273865522 8579707
120684604 4544587
239309691 9181877
120355394 4136285
122303843 3641446
272843045 10156064
185057693 8197761
351192586 11824273
273372402 9786017
48451120 11390838
350810416 11453915
121784567 4147444
63370066 6694186
159306035 7955301
169815759 5385723
270617514 9408694
137408317 6205460
159725384 10010623
185058924 8461359
267746920 11960922
122136964 6117415
159719806 8027456
122138364 5356349
27533341 12069424
26751554 11031993
121941909 5266167
121947405 5002836
28359831 10815379
164729735 6586053
159719243 7821010
171089248 5903301
123206454 10448626
378084142 3658619
121947161 5090937
120572073 3425414
120960812 4349452
184008771 5632781
271545295 9163520
159720778 8364119
158218818 7512381
28159785 11875733
63367810 7684873
27695471 12366681
120628321 3729724
158113583 9007918
271052158 6616218
268384099 10556068
267667927 11071278
123206180 10644253
123495785 9693187
